%
%some transfusion data. Pick source later
%

@relation transfusion
@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute 'whether he/she donated blood in March 2007' {TRUE,FALSE}
@data
2,4,1000,35,FALSE
11,11,2750,42,FALSE
2,2,500,14,FALSE
2,5,1250,47,TRUE
9,8,2000,38,TRUE
4,6,1500,47,FALSE
11,7,1750,29,FALSE
9,9,2250,45,FALSE
4,6,1500,52,FALSE
4,7,1750,58,FALSE
6,2,500,11,TRUE
4,7,1750,58,FALSE
11,9,2250,38,FALSE
11,6,1500,26,FALSE
2,2,500,16,FALSE
2,7,1750,76,FALSE
11,6,1500,27,FALSE
11,3,750,14,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,TRUE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,TRUE
4,1,250,4,FALSE
4,3,750,24,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,FALSE
10,8,2000,39,FALSE
14,7,1750,26,FALSE
8,10,2500,63,FALSE
11,3,750,15,FALSE
4,2,500,14,FALSE
2,4,1000,43,FALSE
8,9,2250,58,FALSE
8,8,2000,52,TRUE
11,22,5500,98,FALSE
4,3,750,25,TRUE
11,17,4250,79,TRUE
9,2,500,11,FALSE
4,5,1250,46,FALSE
11,12,3000,58,FALSE
7,12,3000,86,FALSE
11,2,500,11,FALSE
11,2,500,11,FALSE
11,2,500,11,FALSE
2,6,1500,75,FALSE
11,8,2000,41,TRUE
11,3,750,16,TRUE
12,13,3250,59,FALSE
2,3,750,35,FALSE
16,8,2000,28,FALSE
11,7,1750,37,FALSE
4,3,750,28,FALSE
12,12,3000,58,FALSE
4,4,1000,41,FALSE
11,14,3500,73,TRUE
2,2,500,23,FALSE
2,3,750,38,TRUE
4,5,1250,58,FALSE
4,4,1000,43,TRUE
3,2,500,23,FALSE
11,8,2000,46,FALSE
4,7,1750,82,FALSE
13,4,1000,21,FALSE
16,11,2750,40,FALSE
16,7,1750,28,FALSE
7,2,500,16,FALSE
4,5,1250,58,FALSE
4,5,1250,58,FALSE
4,4,1000,46,FALSE
14,13,3250,57,FALSE
4,3,750,34,FALSE
14,18,4500,78,FALSE
11,8,2000,48,FALSE
14,16,4000,70,FALSE
14,4,1000,22,TRUE
14,5,1250,26,FALSE
8,2,500,16,FALSE
11,5,1250,33,FALSE
11,2,500,14,FALSE
4,2,500,23,FALSE
9,2,500,16,TRUE
14,5,1250,28,TRUE
14,3,750,19,TRUE
14,4,1000,23,TRUE
16,12,3000,50,FALSE
11,4,1000,28,FALSE
11,5,1250,35,FALSE
11,5,1250,35,FALSE
2,4,1000,70,FALSE
14,5,1250,28,FALSE
14,2,500,14,FALSE
14,2,500,14,FALSE
14,2,500,14,FALSE
14,2,500,14,FALSE
14,2,500,14,FALSE
14,2,500,14,FALSE
2,3,750,52,FALSE
14,6,1500,34,FALSE
11,5,1250,37,TRUE
4,5,1250,74,FALSE
11,3,750,23,FALSE
16,4,1000,23,FALSE
16,3,750,19,FALSE
11,5,1250,38,FALSE
11,2,500,16,FALSE
12,9,2250,60,FALSE
9,1,250,9,FALSE
9,1,250,9,FALSE
4,2,500,29,FALSE
11,2,500,17,FALSE
14,4,1000,26,FALSE
11,9,2250,72,TRUE
11,5,1250,41,FALSE
15,16,4000,82,FALSE
9,5,1250,51,TRUE
11,4,1000,34,FALSE
14,8,2000,50,TRUE
16,7,1750,38,FALSE
14,2,500,16,FALSE
2,2,500,41,FALSE
14,16,4000,98,FALSE
14,4,1000,28,TRUE
16,7,1750,39,FALSE
14,7,1750,47,FALSE
16,6,1500,35,FALSE
16,6,1500,35,TRUE
11,7,1750,62,TRUE
16,2,500,16,FALSE
16,3,750,21,TRUE
11,3,750,28,FALSE
11,7,1750,64,FALSE
11,1,250,11,TRUE
9,3,750,34,FALSE
14,4,1000,30,FALSE
23,38,9500,98,FALSE
11,6,1500,58,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,2,500,21,FALSE
11,5,1250,50,FALSE
11,2,500,21,FALSE
16,4,1000,28,FALSE
4,2,500,41,FALSE
16,6,1500,40,FALSE
14,3,750,26,FALSE
9,2,500,26,FALSE
21,16,4000,64,FALSE
14,6,1500,51,FALSE
11,2,500,24,FALSE
4,3,750,71,FALSE
21,13,3250,57,FALSE
11,6,1500,71,FALSE
14,2,500,21,TRUE
23,15,3750,57,FALSE
14,4,1000,38,FALSE
11,2,500,26,FALSE
16,5,1250,40,TRUE
4,2,500,51,TRUE
14,3,750,31,FALSE
4,2,500,52,FALSE
9,4,1000,65,FALSE
14,4,1000,40,FALSE
11,3,750,40,TRUE
14,5,1250,50,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,7,1750,72,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
9,3,750,52,FALSE
14,7,1750,73,FALSE
11,4,1000,58,FALSE
11,4,1000,59,FALSE
4,2,500,59,FALSE
11,4,1000,61,FALSE
16,4,1000,40,FALSE
16,10,2500,89,FALSE
21,2,500,21,TRUE
21,3,750,26,FALSE
16,8,2000,76,FALSE
21,3,750,26,TRUE
18,2,500,23,FALSE
23,5,1250,33,FALSE
23,8,2000,46,FALSE
16,3,750,34,FALSE
14,5,1250,64,FALSE
14,3,750,41,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,4,1000,45,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,2,500,26,FALSE
21,2,500,23,FALSE
16,2,500,27,FALSE
21,2,500,23,FALSE
21,2,500,23,FALSE
14,4,1000,57,FALSE
16,5,1250,60,FALSE
23,2,500,23,FALSE
14,5,1250,74,FALSE
23,3,750,28,FALSE
16,3,750,40,FALSE
9,2,500,52,FALSE
9,2,500,52,FALSE
16,7,1750,87,TRUE
14,4,1000,64,FALSE
14,2,500,35,FALSE
16,7,1750,93,FALSE
21,2,500,25,FALSE
14,3,750,52,FALSE
23,14,3500,93,FALSE
18,8,2000,95,FALSE
16,3,750,46,FALSE
11,3,750,76,FALSE
11,2,500,52,FALSE
11,3,750,76,FALSE
23,12,3000,86,FALSE
21,3,750,35,FALSE
23,2,500,26,FALSE
23,2,500,26,FALSE
23,8,2000,64,FALSE
16,3,750,50,FALSE
23,3,750,33,FALSE
21,3,750,38,FALSE
23,2,500,28,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,1,250,21,TRUE
21,1,250,21,FALSE
21,1,250,21,FALSE
21,5,1250,60,FALSE
23,4,1000,45,FALSE
21,4,1000,52,FALSE
22,1,250,22,TRUE
11,2,500,70,FALSE
23,5,1250,58,FALSE
23,3,750,40,FALSE
23,3,750,41,FALSE
14,3,750,83,FALSE
21,2,500,35,FALSE
26,5,1250,49,TRUE
23,6,1500,70,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,4,1000,53,FALSE
21,6,1500,86,FALSE
23,3,750,48,FALSE
21,2,500,41,FALSE
21,3,750,64,FALSE
16,2,500,70,FALSE
21,3,750,70,FALSE
23,4,1000,87,FALSE
23,3,750,89,FALSE
23,2,500,87,FALSE
35,3,750,64,FALSE
38,1,250,38,FALSE
38,1,250,38,FALSE
40,1,250,40,FALSE
74,1,250,74,FALSE
2,43,10750,86,TRUE
6,22,5500,28,TRUE
2,34,8500,77,TRUE
2,44,11000,98,FALSE
0,26,6500,76,TRUE
2,41,10250,98,TRUE
3,21,5250,42,TRUE
2,11,2750,23,FALSE
2,21,5250,52,TRUE
2,13,3250,32,TRUE
4,4,1000,4,TRUE
2,11,2750,26,FALSE
2,11,2750,28,FALSE
3,14,3500,35,FALSE
4,16,4000,38,TRUE
4,6,1500,14,FALSE
3,5,1250,12,TRUE
4,33,8250,98,TRUE
3,10,2500,33,TRUE
4,10,2500,28,TRUE
2,11,2750,40,TRUE
2,11,2750,41,TRUE
4,13,3250,39,TRUE
1,10,2500,43,TRUE
4,9,2250,28,FALSE
2,4,1000,11,FALSE
2,5,1250,16,TRUE
2,15,3750,64,FALSE
5,24,6000,79,FALSE
2,6,1500,22,TRUE
4,5,1250,16,TRUE
2,4,1000,14,TRUE
4,8,2000,28,FALSE
2,4,1000,14,FALSE
2,6,1500,26,FALSE
4,5,1250,16,TRUE
2,7,1750,32,TRUE
2,6,1500,26,TRUE
2,8,2000,38,TRUE
2,2,500,4,TRUE
2,6,1500,28,TRUE
2,10,2500,52,FALSE
4,16,4000,70,TRUE
4,2,500,4,TRUE
1,14,3500,95,FALSE
4,2,500,4,TRUE
7,14,3500,48,FALSE
2,3,750,11,FALSE
2,12,3000,70,TRUE
4,7,1750,32,TRUE
4,4,1000,16,FALSE
2,6,1500,35,TRUE
4,6,1500,28,TRUE
2,3,750,14,FALSE
2,4,1000,23,FALSE
4,4,1000,18,FALSE
5,6,1500,28,FALSE
4,6,1500,30,FALSE
14,5,1250,14,FALSE
3,8,2000,50,FALSE
4,11,2750,64,TRUE
4,9,2250,52,FALSE
4,16,4000,98,TRUE
7,10,2500,47,FALSE
4,14,3500,86,FALSE
2,9,2250,75,FALSE
4,6,1500,35,FALSE
4,9,2250,55,FALSE
4,6,1500,35,TRUE
2,6,1500,45,FALSE
2,6,1500,47,FALSE
4,2,500,9,FALSE
2,2,500,11,TRUE
2,2,500,11,FALSE
2,2,500,11,TRUE
4,6,1500,38,TRUE
3,4,1000,29,TRUE
9,9,2250,38,FALSE
11,5,1250,18,FALSE
2,3,750,21,FALSE
2,1,250,2,FALSE
2,1,250,2,TRUE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,TRUE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
2,1,250,2,FALSE
11,11,2750,38,FALSE
2,3,750,22,FALSE
9,11,2750,49,TRUE
5,11,2750,75,FALSE
3,5,1250,38,FALSE
3,1,250,3,TRUE
4,6,1500,43,FALSE
2,3,750,24,FALSE
12,11,2750,39,FALSE
2,2,500,14,FALSE
4,6,1500,46,FALSE
9,3,750,14,FALSE
14,8,2000,26,FALSE
4,2,500,13,FALSE
4,11,2750,95,FALSE
2,7,1750,77,FALSE
2,7,1750,77,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,FALSE
4,1,250,4,TRUE
4,1,250,4,FALSE
4,7,1750,62,FALSE
4,1,250,4,FALSE
4,4,1000,34,TRUE
11,6,1500,28,FALSE
13,3,750,14,TRUE
7,5,1250,35,FALSE
9,9,2250,54,FALSE
11,2,500,11,FALSE
2,5,1250,63,FALSE
7,11,2750,89,FALSE
8,9,2250,64,FALSE
2,2,500,22,FALSE
6,3,750,26,FALSE
12,15,3750,71,FALSE
13,3,750,16,FALSE
11,16,4000,89,FALSE
4,5,1250,58,FALSE
14,7,1750,35,FALSE
11,4,1000,27,FALSE
7,9,2250,89,TRUE
11,8,2000,52,TRUE
7,5,1250,52,FALSE
11,6,1500,41,FALSE
10,5,1250,38,FALSE
14,2,500,14,TRUE
14,2,500,14,FALSE
14,2,500,14,FALSE
2,2,500,33,FALSE
11,3,750,23,FALSE
14,8,2000,46,FALSE
9,1,250,9,FALSE
16,5,1250,27,FALSE
14,4,1000,26,FALSE
4,2,500,30,FALSE
14,3,750,21,FALSE
16,16,4000,77,FALSE
4,2,500,31,FALSE
14,8,2000,50,FALSE
11,3,750,26,FALSE
14,7,1750,45,FALSE
15,5,1250,33,FALSE
16,2,500,16,FALSE
16,3,750,21,FALSE
11,8,2000,72,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,FALSE
11,1,250,11,TRUE
11,1,250,11,FALSE
2,3,750,75,TRUE
2,3,750,77,FALSE
16,4,1000,28,FALSE
16,15,3750,87,FALSE
16,14,3500,83,FALSE
16,10,2500,62,FALSE
16,3,750,23,FALSE
14,3,750,26,FALSE
23,19,4750,62,FALSE
11,7,1750,75,FALSE
14,3,750,28,FALSE
20,14,3500,69,TRUE
4,2,500,46,FALSE
11,2,500,25,FALSE
11,3,750,37,FALSE
16,4,1000,33,FALSE
21,7,1750,38,FALSE
13,7,1750,76,FALSE
16,6,1500,50,FALSE
14,3,750,33,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
14,1,250,14,FALSE
17,7,1750,58,TRUE
14,3,750,35,FALSE
14,3,750,35,FALSE
16,7,1750,64,FALSE
21,2,500,21,FALSE
16,3,750,35,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
16,1,250,16,FALSE
14,2,500,29,FALSE
11,4,1000,74,FALSE
11,2,500,38,TRUE
21,6,1500,48,FALSE
23,2,500,23,FALSE
23,6,1500,45,FALSE
14,2,500,35,TRUE
16,6,1500,81,FALSE
16,4,1000,58,FALSE
16,5,1250,71,FALSE
21,2,500,26,FALSE
21,3,750,35,FALSE
21,3,750,35,FALSE
23,8,2000,69,FALSE
21,3,750,38,FALSE
23,3,750,35,FALSE
21,3,750,40,FALSE
23,2,500,28,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
25,6,1500,50,FALSE
21,1,250,21,FALSE
21,1,250,21,FALSE
23,3,750,39,FALSE
21,2,500,33,FALSE
14,3,750,79,FALSE
23,1,250,23,TRUE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,1,250,23,FALSE
23,4,1000,52,FALSE
23,1,250,23,FALSE
23,7,1750,88,FALSE
16,3,750,86,FALSE
23,2,500,38,FALSE
21,2,500,52,FALSE
23,3,750,62,FALSE
39,1,250,39,FALSE
72,1,250,72,FALSE
